id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
139437,Deal or No Deal: The Banker is Back!,2008-11-14,,https://www.mobygames.com/game/139437/deal-or-no-deal-the-banker-is-back/,"Nintendo DS, Wii","Simulation, 1st-person, Game show / trivia / quiz, Licensed, Regional differences",Mad Monkey Studio,Mindscape SA
139363,Deal or No Deal: The Official Nintendo DS Game,2007-11-09,,https://www.mobygames.com/game/139363/deal-or-no-deal-the-official-nintendo-ds-game/,Nintendo DS,"Simulation, 1st-person, Game show / trivia / quiz, Licensed, Regional differences",Gimagin,Mindscape SA
120156,Destiny Child,2016-10-27,,https://www.mobygames.com/game/120156/destiny-child/,"Windows, iPhone, Android, iPad","1st-person, Real-time, Role-playing (RPG), Anime / Manga, Fantasy, Fixed / flip-screen, Regional differences, Japan (Modern/Futuristic)","STAIRS Corp., Shiftup Corp., NextFloor Corporation, LINE Games Corporation","LINE Games Corporation, NextFloor Corporation, STAIRS Corp."
10289,Dusty Diamond's All-Star Softball,1989-10-27,,https://www.mobygames.com/game/10289/dusty-diamonds-all-star-softball/,NES,"Sports, Baseball, Regional differences","Tose Co., Ltd.","Tokyo Shoseki Co., Ltd., Brøderbund Software, Inc."
225721,Eggs,1983-06,,https://www.mobygames.com/game/225721/eggs/,"Arcade, Antstream","Action, Arcade, Top-down, Fixed / flip-screen, Direct control, Regional differences",Technos Japan Corp.,"Technos Japan Corp., Universal U.S.A., Inc."
162679,Emil Chronicle Online,2005-12-09,,https://www.mobygames.com/game/162679/emil-chronicle-online/,Windows,"Real-time, Role-playing (RPG), Anime / Manga, Fantasy, Comedy, 3rd-person (Other), Massively Multiplayer, Direct control, Regional differences",Headlock Corporation,"GungHo Online Entertainment, Inc."
13411,Fist of the North Star,1987-04-17,,https://www.mobygames.com/game/13411/fist-of-the-north-star/,NES,"Action, Arcade, Side view, Platform, Fighting, Anime / Manga, Licensed, 2D scrolling, Regional differences",Shouei System,"Taxan USA Corp., Toei Animation Co., Ltd."
75848,Global Champion,1994,,https://www.mobygames.com/game/75848/global-champion/,Arcade,"Action, Side view, Martial arts, Fighting, 2D scrolling, Regional differences",Taito Corporation,Taito Corporation
65562,Hook,1992,,https://www.mobygames.com/game/65562/hook/,Arcade,"Action, Arcade, Side view, Fantasy, Licensed, Beat 'em up / brawler, 2D scrolling, Regional differences",Irem Corp.,Irem Corp.
28861,Kid Klown in Night Mayor World,1992-09-25,,https://www.mobygames.com/game/28861/kid-klown-in-night-mayor-world/,NES,"Action, Arcade, Side view, Platform, Licensed, 2D scrolling, Regional differences","Kotobuki System Co., Ltd.","Kemco America, Inc., Kotobuki System Co., Ltd."
119958,Kunoichi Botan,2017-07-31,,https://www.mobygames.com/game/119958/kunoichi-botan/,Windows,"Role-playing (RPG), Anime / Manga, Adult, Diagonal-down, Japanese-style RPG (JRPG), Regional differences",Enokippu,"Kagura Games LLC, Enokippu"
196562,Last Origin,2020-05-19,,https://www.mobygames.com/game/196562/last-origin/,"iPad, Android, iPhone","Sci-fi / futuristic, Side view, Role-playing (RPG), Anime / Manga, Post-apocalyptic, Turn-based, Tactical RPG, Regional differences, Gambling elements","SmartJoy Co., Ltd.",PiG Corporation
140034,Lone Soldier,1996-01,,https://www.mobygames.com/game/140034/lone-soldier/,PlayStation,"Action, Sci-fi / futuristic, Shooter, War, Behind view, Direct control, Regional differences",Tempest Software Ltd,"Virgin Interactive Entertainment (Japan), Inc., Telstar Electronic Studios Ltd."
114815,MapleStory 2,2018-10-04,,https://www.mobygames.com/game/114815/maplestory-2/,Windows,"Action, Simulation, Side view, Role-playing (RPG), Anime / Manga, Fantasy, Persistent, 3rd-person (Other), Diagonal-down, City building / construction simulation, Life / social simulation, Massively Multiplayer, Action RPG, Regional differences",Nexon Korea Corporation,Nexon America Inc.
34348,Marine Sharpshooter 3,2007-05-28,,https://www.mobygames.com/game/34348/marine-sharpshooter-3/,Windows,"Action, 1st-person, Shooter, Regional differences",Jarhead Games Inc.,"Groove Games, Russobit-M"
35755,Marine Sharpshooter 4,2008-07-28,,https://www.mobygames.com/game/35755/marine-sharpshooter-4/,Windows,"Action, 1st-person, Shooter, Regional differences",Groove Games,"1C Company, Groove Games"
34488,Maxi 15,1992,,https://www.mobygames.com/game/34488/maxi-15/,NES,"Compilation, Falling block puzzle, Regional differences",,"American Video Entertainment Inc., Home Entertainment Suppliers Pty. Ltd."
137001,Metro: Iskhod + Metro: Vozvrashcheniye,2019-02-15,,https://www.mobygames.com/game/137001/metro-iskhod-metro-vozvrashcheniye/,PlayStation 4,"Digital extras, Extra content / game, Physical extras, Special edition, Regional differences",,Koch Media GmbH (Austria)
129278,Monty Python's Personal Bests (included game),2006,,https://www.mobygames.com/game/129278/monty-pythons-personal-bests-included-game/,DVD Player,"Game show / trivia / quiz, Puzzle, Comedy, Regional differences",,"Python (Monty) Pictures, Ltd,"
